"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: backoff","Param: queueSize"
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,121.208803,8.024365,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,48764.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,41218621.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,123.675664,4.358169,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,15227.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,40420951.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,116.872911,7.881333,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,26982.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,42772103.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,115.380524,6.257341,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,4162.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,43344131.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,141.527012,3.110380,"ns/op",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,55594.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,35280195.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,140.736488,15.322597,"ns/op",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,8877.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,35548511.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,141.709969,20.166317,"ns/op",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,40.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,35326987.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,146.841818,9.279090,"ns/op",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,0.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,34062330.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,140.196272,8.010465,"ns/op",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,13283.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,35663103.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,147.131739,5.655793,"ns/op",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,15382.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,33974938.000000,NaN,"#",10,1024
