"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: backoff","Param: queueSize"
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,121.287528,8.846654,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,87927.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,41154108.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,115.585670,3.701723,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,45094.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,43223488.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,110.868809,3.875175,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,29312.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,45078853.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,112.284176,6.919743,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,24908.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,44521093.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,143.549670,12.312742,"ns/op",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,117567.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,34733386.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,148.965026,14.832255,"ns/op",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,104309.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,33483519.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,142.106642,6.542460,"ns/op",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,3003.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,35190847.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,144.111154,8.371627,"ns/op",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,16136.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,34690074.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,154.599856,7.193901,"ns/op",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,131366.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,32223450.000000,NaN,"#",10,256
