"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: backoff","Param: queueSize"
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","sample",1,147581,346.271925,12.646765,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.00","sample",1,1,44.000000,NaN,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.50","sample",1,1,48.000000,NaN,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.90","sample",1,1,160.000000,NaN,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.95","sample",1,1,1023.000000,NaN,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.99","sample",1,1,6480.000000,NaN,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.999","sample",1,1,21210.752000,NaN,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.9999","sample",1,1,30214.688000,NaN,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p1.00","sample",1,1,55872.000000,NaN,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","sample",1,141081,351.256831,12.873772,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.00","sample",1,1,47.000000,NaN,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.50","sample",1,1,49.000000,NaN,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.90","sample",1,1,152.800000,NaN,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.95","sample",1,1,1146.000000,NaN,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.99","sample",1,1,6400.000000,NaN,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.999","sample",1,1,21117.376000,NaN,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.9999","sample",1,1,29394.150400,NaN,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p1.00","sample",1,1,52288.000000,NaN,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","sample",1,130361,404.907073,14.994545,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.00","sample",1,1,47.000000,NaN,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.50","sample",1,1,50.000000,NaN,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.90","sample",1,1,346.000000,NaN,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.95","sample",1,1,1903.600000,NaN,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.99","sample",1,1,6520.000000,NaN,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.999","sample",1,1,22856.832000,NaN,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.9999","sample",1,1,31102.841600,NaN,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p1.00","sample",1,1,62976.000000,NaN,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","sample",1,142063,372.837776,13.336209,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.00","sample",1,1,44.000000,NaN,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.50","sample",1,1,51.000000,NaN,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offerArrayBlockingQueue1·p0.90","sample",1,1,170.000000,NaN,"ns/op",0,4096
