"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: backoff","Param: queueSize"
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,123.415386,5.803586,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,61802.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,40462360.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,126.277409,4.497462,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,17207.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,39587248.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,117.675793,6.008011,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,34324.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,42466603.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,133.775455,3.956886,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,6889.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,37376263.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,133.536233,13.862525,"ns/op",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,47881.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,37422013.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,133.456969,4.887841,"ns/op",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,19482.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,37453173.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,137.922741,10.442430,"ns/op",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,26516.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,36241137.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,133.865008,4.636294,"ns/op",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,0.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,37358189.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,160.170088,6.933327,"ns/op",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,54685.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,31171120.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,150.753056,3.978814,"ns/op",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,11807.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,33161563.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,159.237392,6.057593,"ns/op",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,2137.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,31404446.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,134.581860,9.443153,"ns/op",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,1.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,37166651.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,219.211411,12.052765,"ns/op",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,13491.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,22803204.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,193.027723,16.325792,"ns/op",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,22324.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,25895194.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,194.755889,15.813696,"ns/op",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,3548.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,25682634.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,205.006165,10.406603,"ns/op",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,641.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,24396187.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,182.718609,22.503711,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,6140283.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,48700313.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,122.296357,35.619192,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,218397.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,84276822.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,160.413292,9.176951,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,199931.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,62294776.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,145.539663,6.167351,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,250784.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,69680700.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,161.741787,28.345889,"ns/op",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,10252274.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,54122467.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,194.536615,78.206915,"ns/op",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,155489.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,52084533.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,136.740985,11.947837,"ns/op",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,228759.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,73290816.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,144.739492,39.847939,"ns/op",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,129103.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,69932076.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,173.928997,17.940595,"ns/op",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,6435797.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,51851175.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,153.404649,32.227988,"ns/op",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,146304.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,66259628.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,159.119555,10.509465,"ns/op",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,37865.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,63049826.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,160.677343,13.579113,"ns/op",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,66484.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,63087285.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,266.650925,51.400797,"ns/op",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,270789.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,37766914.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,243.429876,39.116002,"ns/op",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,171064.000000,NaN,"#",20,1024
